unix,low,high,open,close,volume,date
1611100800,1315,1408.5,1367.7,1351.71,143151.3068,1/20/2021
1611014400,1252.01,1440,1258.55,1368.04,709702.9993,1/19/2021
1610928000,1181.9,1261,1232.6,1258.48,287749.9473,1/18/2021
1610841600,1165.78,1268.83,1227.76,1232.99,295103.6023,1/17/2021
1610755200,1152.3,1294,1169.04,1227.14,422140.3931,1/16/2021
1610668800,1065,1255.59,1231.59,1168.1,578841.8829,1/15/2021
1610582400,1087.05,1246.99,1130.79,1231.32,438467.2899,1/14/2021
1610496000,980,1137.75,1050.46,1130.8,504920.5744,1/13/2021
1610409600,1006.83,1150,1088.55,1049.79,656376.7035,1/12/2021
1610323200,905,1260.24,1255.1,1088.79,1556217.078,1/11/2021
1610236800,1153,1350.88,1281.25,1255.13,670103.5932,1/10/2021
1610150400,1172.86,1310,1217.31,1281.45,434123.0263,1/9/2021
1610064000,1063.18,1275,1227.55,1217.35,781425.7843,1/8/2021
1609977600,1140,1291.94,1212.68,1227.34,661416.0329,1/7/2021
1609891200,1058.32,1215.98,1103.71,1212.02,821084.9128,1/6/2021
1609804800,975,1136.93,1042.24,1103.73,858495.8882,1/5/2021
1609718400,886.33,1168.99,980.44,1042.38,1103882.903,1/4/2021
1609632000,770,1015.14,775.29,980.44,858743.8191,1/3/2021
1609545600,715.22,789.21,730.97,775.3,368899.3194,1/2/2021
1609459200,717.1,750,737.89,730.99,198060.4421,1/1/2021
1609372800,724,755.9,752.87,737.67,217610.2607,12/31/2020
1609286400,717,759,731.79,752.86,238441.2177,12/30/2020
1609200000,688,739.66,729.65,731.76,295088.4018,12/29/2020
1609113600,680.9,747,684.11,729.7,397946.5305,12/28/2020
1609027200,625.01,714.99,636.85,684.12,436385.2543,12/27/2020
1608940800,615.22,652.7,626.71,636.52,195895.6774,12/26/2020
1608854400,604.26,633.97,612.25,626.75,158871.7532,12/25/2020
1608768000,565.61,614.99,585.37,612.27,213890.6148,12/24/2020
1608681600,551.45,638.75,636.73,585.11,328147.4653,12/23/2020
1608595200,587.54,638.5,608.07,636.82,207333.5573,12/22/2020
1608508800,596.9,648.35,638.19,608.07,267136.1027,12/21/2020
1608422400,621.46,661.4,658.8,638.4,164504.3358,12/20/2020
1608336000,646.54,672.06,654.66,658.96,186815.5551,12/19/2020
1608249600,629.59,664.46,643.26,654.66,177136.019,12/18/2020
1608163200,626.79,677.05,637.91,643.37,430253.0827,12/17/2020
1608076800,581.21,639.58,589.08,637.98,261818.2886,12/16/2020
1607990400,579.15,597.04,586.4,589.08,95567.38638,12/15/2020
1607904000,575.58,591.71,590.45,586.39,103488.3163,12/14/2020
1607817600,563.79,595.21,568.64,590.75,105159.2343,12/13/2020
1607731200,543.22,574.33,544.51,568.64,101618.1466,12/12/2020
1607644800,535.5,560.62,559.33,544.23,173696.2603,12/11/2020
1607558400,547.83,575.62,573.26,559.45,117320.2106,12/10/2020
1607472000,530.32,578.67,554.8,573.38,246145.8364,12/9/2020
1607385600,548.12,595.47,591.53,554.79,173888.7906,12/8/2020
1607299200,584.54,603.4,601.97,591.47,79196.5854,12/7/2020
1607212800,583.31,607.46,597.29,601.95,101652.7267,12/6/2020
1607126400,561.15,597.88,567.76,597.29,95956.77136,12/5/2020
1607040000,566,620.56,616.46,567.6,195480.7063,12/4/2020
1606953600,586.11,624.57,597.03,616.65,168346.304,12/3/2020
1606867200,575.08,604.96,585.87,597.35,136242.1644,12/2/2020
1606780800,563.01,636.53,617,586.03,373179.7978,12/1/2020
1606694400,571.11,617,576.9,617,313418.9868,11/30/2020
1606608000,531,577.55,537.97,576.76,139940.8158,11/29/2020
1606521600,505.01,548.83,519.04,538.11,166450.4375,11/28/2020
1606435200,493.51,531.41,520.35,519.07,199205.0918,11/27/2020
1606348800,480.08,577,569.19,520.34,614152.3569,11/26/2020
1606262400,554,606.49,605.45,568.79,255508.1788,11/25/2020
1606176000,587.25,623.22,609.26,605.45,387478.5947,11/24/2020
1606089600,550,611.43,560.78,609.26,444789.0794,11/23/2020
1606003200,511.16,581.8,553.06,560.82,403902.1561,11/22/2020
1605916800,502.82,554.28,510.6,553.07,287728.1278,11/21/2020
1605830400,471.07,514.73,471.92,510.43,296509.7745,11/20/2020
1605744000,465.18,480.99,479,471.92,131594.4827,11/19/2020
1605657600,456.5,495.68,482.75,478.96,296492.0913,11/18/2020
1605571200,460.05,485,460.87,482.68,196041.7351,11/17/2020
1605484800,445.91,466.21,448.6,460.85,112980.261,11/16/2020
1605398400,439.77,463.24,461.21,448.58,89217.75629,11/15/2020
1605312000,452.17,478,477.15,461.16,114594.7838,11/14/2020
1605225600,457.64,478.31,462.91,477.14,134796.0594,11/13/2020
1605139200,452.07,470.56,463.75,462.98,180116.9756,11/12/2020
1605052800,449.95,476.8,450.89,463.79,195694.0658,11/11/2020
1604966400,439.36,455.51,444.84,450.89,132863.6765,11/10/2020
1604880000,433.83,460,454.61,444.81,171387.9447,11/9/2020
1604793600,432.65,460.57,435.59,454.61,111199.1219,11/8/2020
1604707200,423,468.98,456.69,435.73,297289.7848,11/7/2020
1604620800,415.57,458.92,417.29,456.65,357787.285,11/6/2020
1604534400,396.43,421.25,403.19,417.17,248936.2059,11/5/2020
1604448000,376.64,409,388.33,403.18,214751.1829,11/4/2020
1604361600,370.5,390.35,383.33,388.32,105339.73,11/3/2020
1604275200,378.36,404.57,396.91,383.33,128275.5109,11/2/2020
1604188800,385.09,397.65,386.72,396.91,49385.47177,11/1/2020
1604102400,380.76,394,382.77,386.74,76755.21021,10/31/2020
1604016000,373.4,392.16,387.49,382.77,107710.1728,10/30/2020
1603929600,380.75,394,388.59,387.6,104421.7354,10/29/2020
1603843200,380.5,409.52,404.56,388.63,128255.1382,10/28/2020
1603756800,390.35,411.77,393.07,404.55,108903.2756,10/27/2020
1603670400,382.21,411.47,406.32,393.12,129676.3419,10/26/2020
1603584000,402.92,417.86,412.58,406.46,53762.84087,10/25/2020
1603497600,407.4,417,409.55,412.58,68349.19908,10/24/2020
1603411200,401.51,419.48,414.64,409.52,124844.5206,10/23/2020
1603324800,391.33,421.47,391.36,414.7,182333.5084,10/22/2020
1603238400,368.06,402.62,368.81,391.53,249849.807,10/21/2020
1603152000,363.01,380.9,379.53,368.81,84940.26982,10/20/2020
1603065600,372.89,384.69,378.56,379.36,69957.45766,10/19/2020
1602979200,367.31,378.69,368.48,378.58,42509.2102,10/18/2020
1602892800,363.56,370.57,365.57,368.48,41868.07116,10/17/2020
1602806400,361.38,380,377.89,365.57,106263.2847,10/16/2020
1602720000,370.06,381.99,379.01,377.94,68915.9786,10/15/2020
1602633600,373.29,387.63,381.37,378.97,80200.71717,10/14/2020
1602547200,374.29,387.88,386.77,381.37,84543.6187,10/13/2020
1602460800,365.77,395.18,374.37,386.74,111464.2953,10/12/2020
1602374400,369.02,377.49,370.73,374.38,55925.96138,10/11/2020
1602288000,365.02,380.81,365.35,370.75,117309.7265,10/10/2020
1602201600,347.15,368.7,351.17,365.36,116241.0151,10/9/2020
1602115200,334.29,353.34,341.7,351.25,88039.97567,10/8/2020
1602028800,332.87,342.83,340.8,341.68,95554.36545,10/7/2020
1601942400,336.73,355.33,353.82,340.78,101113.6642,10/6/2020
1601856000,348.69,356.12,352.42,353.73,53291.56084,10/5/2020
1601769600,344.08,354.35,346.18,352.48,57672.70466,10/4/2020
1601683200,343.71,351.2,345.74,346.18,39972.14867,10/3/2020
1601596800,334.19,354.25,352.84,345.7,152553.4116,10/2/2020
1601510400,345.01,370.25,360.01,352.9,123288.3818,10/1/2020
1601424000,351.38,361.51,359.93,359.89,61528.36975,9/30/2020
1601337600,350.19,360.59,353.68,359.9,116581.135,9/29/2020
1601251200,351.88,368.52,357.53,353.91,104212.3756,9/28/2020
1601164800,347.05,362.86,354.01,357.55,80085.26429,9/27/2020
1601078400,346.03,356.5,352.12,354.13,61035.01105,9/26/2020
1600992000,337.63,358.12,349.14,352.11,126913.45,9/25/2020
1600905600,316.65,353.14,320.65,349.14,183245.4546,9/24/2020
1600819200,313,344.64,344.25,320.63,190725.1144,9/23/2020
1600732800,335.57,346.84,340.36,344.26,125988.8984,9/22/2020
1600646400,331,376.76,371.03,340.11,266795.4338,9/21/2020
1600560000,364.89,385.31,385.25,370.69,89803.37071,9/20/2020
1600473600,377.2,388.43,384.6,385.23,70257.87733,9/19/2020
1600387200,375.19,392.69,389.52,384.64,163353.4931,9/18/2020
1600300800,363.4,394.55,365.22,389.45,212965.4128,9/17/2020
1600214400,355,373.37,364.05,365.23,130167.798,9/16/2020
1600128000,362.5,382.76,377.27,364.2,170054.9627,9/15/2020
1600041600,355.66,384.61,366.58,377.28,190573.772,9/14/2020
1599955200,353.58,390.41,387.82,366.58,164465.9439,9/13/2020
1599868800,364.88,388.25,373.93,387.81,109437.7936,9/12/2020
1599782400,355.81,375.38,367.94,373.93,132464.5869,9/11/2020
1599696000,350.23,377.79,351.11,368.06,217245.4358,9/10/2020
1599609600,330.6,359.41,337.48,351.1,166730.6151,9/9/2020
