unix,low,high,open,close,volume,date
1611100800,138.53,156.3,151.89,149.77,498760.0542,1/20/2021
1611014400,150.17,166.21,151.81,151.9,728847.5879,1/19/2021
1610928000,138.27,155,142.76,151.88,610752.275,1/18/2021
1610841600,136.29,147,143.58,142.8,456112.4476,1/17/2021
1610755200,139.26,152.68,143.75,143.5,644616.1773,1/16/2021
1610668800,130.29,155.3,152.38,143.63,734295.4106,1/15/2021
1610582400,143.4,156.87,147.55,152.38,743175.0059,1/14/2021
1610496000,125.7,148.5,133.36,147.51,868082.624,1/13/2021
1610409600,128,146.88,139.35,133.39,1151437.301,1/12/2021
1610323200,111.04,170.72,170.22,139.43,2538624.924,1/11/2021
1610236800,160.62,186.34,177.9,170.21,1050079.22,1/10/2021
1610150400,163.58,179.42,172.46,177.87,719159.3321,1/9/2021
1610064000,150.2,181.55,169.75,172.46,1248036.479,1/8/2021
1609977600,162,181.25,169.45,169.75,1139850.352,1/7/2021
1609891200,155.37,169.9,159.01,169.41,861475.9162,1/6/2021
1609804800,146.62,163.36,155.48,159.03,864792.9609,1/5/2021
1609718400,140,174.5,161.44,155.43,1288609.455,1/4/2021
1609632000,135.5,164.98,137.1,161.52,1359302.403,1/3/2021
1609545600,123.8,142.21,126.53,137.13,999028.2171,1/2/2021
1609459200,123.19,134.22,124.42,126.53,495005.8921,1/1/2021
1609372800,122,130.35,130.09,124.41,402189.4231,12/31/2020
1609286400,122.6,132.89,128.7,130.11,527659.7178,12/30/2020
1609200000,120,130.67,129.67,128.69,543578.9859,12/29/2020
1609113600,126.21,136.99,127.67,129.69,742365.725,12/28/2020
1609027200,121.55,139.3,129.56,127.6,1327306.274,12/27/2020
1608940800,124.84,135,127.8,129.56,1122808.594,12/26/2020
1608854400,108.24,128.54,111.17,127.67,1078936.945,12/25/2020
1608768000,98.68,112.3,102.46,111.2,800710.1598,12/24/2020
1608681600,95.28,117.32,114.28,102.35,1187433.797,12/23/2020
1608595200,98.31,114.6,104.49,114.31,833259.514,12/22/2020
1608508800,100.65,118.87,114.65,104.44,888466.2024,12/21/2020
1608422400,109.85,123.19,120.04,114.65,911240.9222,12/20/2020
1608336000,105.5,124.4,109.45,120.02,917654.309,12/19/2020
1608249600,99.28,112.92,101.06,109.46,872586.2247,12/18/2020
1608163200,90.44,110,92.94,101.17,1347541.854,12/17/2020
1608076800,78.43,93.3,81.4,93.02,783108.7791,12/16/2020
1607990400,80.38,85,82.4,81.4,319582.793,12/15/2020
1607904000,79.15,82.99,82.2,82.4,246471.8841,12/14/2020
1607817600,75.63,84.34,76.67,82.2,307459.5234,12/13/2020
1607731200,72.02,77.65,72.19,76.7,194168.4267,12/12/2020
1607644800,69.94,75.09,74.71,72.18,325119.5534,12/11/2020
1607558400,73.1,77.64,77.42,74.71,146863.7985,12/10/2020
1607472000,72.15,78.24,76.7,77.42,316427.4617,12/9/2020
1607385600,75.5,84.93,83.44,76.7,304628.6343,12/8/2020
