unix,low,high,open,close,volume,date
1611100800,1315.0,1408.5,1367.7,1351.71,143151.30680309,2021-01-20
1611014400,1252.01,1440.0,1258.55,1368.04,709702.99933138,2021-01-19
1610928000,1181.9,1261.0,1232.6,1258.48,287749.94730348,2021-01-18
1610841600,1165.78,1268.83,1227.76,1232.99,295103.60231119,2021-01-17
1610755200,1152.3,1294.0,1169.04,1227.14,422140.39314774,2021-01-16
1610668800,1065.0,1255.59,1231.59,1168.1,578841.8829192,2021-01-15
1610582400,1087.05,1246.99,1130.79,1231.32,438467.28987015,2021-01-14
1610496000,980.0,1137.75,1050.46,1130.8,504920.57439418,2021-01-13
1610409600,1006.83,1150.0,1088.55,1049.79,656376.70350396,2021-01-12
1610323200,905.0,1260.24,1255.1,1088.79,1556217.07756248,2021-01-11
1610236800,1153.0,1350.88,1281.25,1255.13,670103.5931583,2021-01-10
1610150400,1172.86,1310.0,1217.31,1281.45,434123.02634182,2021-01-09
1610064000,1063.18,1275.0,1227.55,1217.35,781425.78426996,2021-01-08
1609977600,1140.0,1291.94,1212.68,1227.34,661416.03292889,2021-01-07
1609891200,1058.32,1215.98,1103.71,1212.02,821084.91284462,2021-01-06
1609804800,975.0,1136.93,1042.24,1103.73,858495.88816745,2021-01-05
1609718400,886.33,1168.99,980.44,1042.38,1103882.9026854,2021-01-04
1609632000,770.0,1015.14,775.29,980.44,858743.81908511,2021-01-03
1609545600,715.22,789.21,730.97,775.3,368899.31941969,2021-01-02
1609459200,717.1,750.0,737.89,730.99,198060.44209411,2021-01-01
1609372800,724.0,755.9,752.87,737.67,217610.26070386,2020-12-31
1609286400,717.0,759.0,731.79,752.86,238441.21767564,2020-12-30
1609200000,688.0,739.66,729.65,731.76,295088.40177823,2020-12-29
1609113600,680.9,747.0,684.11,729.7,397946.53045409,2020-12-28
1609027200,625.01,714.99,636.85,684.12,436385.25431205,2020-12-27
1608940800,615.22,652.7,626.71,636.52,195895.6773533,2020-12-26
1608854400,604.26,633.97,612.25,626.75,158871.75321373,2020-12-25
1608768000,565.61,614.99,585.37,612.27,213890.61477265,2020-12-24
