unix,low,high,open,close,volume,date
1611273600,122.25,142.0,129.65,137.76,662088.44705923,2021-01-22
1611187200,125.4,150.35,149.82,129.75,612256.64841475,2021-01-21
1611100800,138.53,156.3,151.89,149.77,498760.05422524,2021-01-20
1611014400,150.17,166.21,151.81,151.9,728847.58791126,2021-01-19
1610928000,138.27,155.0,142.76,151.88,610752.27496003,2021-01-18
1610841600,136.29,147.0,143.58,142.8,456112.44761885,2021-01-17
1610755200,139.26,152.68,143.75,143.5,644616.17729527,2021-01-16
1610668800,130.29,155.3,152.38,143.63,734295.41062156,2021-01-15
1610582400,143.4,156.87,147.55,152.38,743175.0059382,2021-01-14
1610496000,125.7,148.5,133.36,147.51,868082.62399309,2021-01-13
1610409600,128.0,146.88,139.35,133.39,1151437.30124188,2021-01-12
1610323200,111.04,170.72,170.22,139.43,2538624.92406998,2021-01-11
1610236800,160.62,186.34,177.9,170.21,1050079.22012166,2021-01-10
1610150400,163.58,179.42,172.46,177.87,719159.33210206,2021-01-09
1610064000,150.2,181.55,169.75,172.46,1248036.47869796,2021-01-08
1609977600,162.0,181.25,169.45,169.75,1139850.35207682,2021-01-07
1609891200,155.37,169.9,159.01,169.41,861475.91623074,2021-01-06
1609804800,146.62,163.36,155.48,159.03,864792.96091525,2021-01-05
1609718400,140.0,174.5,161.44,155.43,1288609.45497657,2021-01-04
1609632000,135.5,164.98,137.1,161.52,1359302.40338031,2021-01-03
1609545600,123.8,142.21,126.53,137.13,999028.21705459,2021-01-02
1609459200,123.19,134.22,124.42,126.53,495005.89206941,2021-01-01
1609372800,122.0,130.35,130.09,124.41,402189.42314972,2020-12-31
1609286400,122.6,132.89,128.7,130.11,527659.71781772,2020-12-30
1609200000,120.0,130.67,129.67,128.69,543578.98588219,2020-12-29
1609113600,126.21,136.99,127.67,129.69,742365.72495903,2020-12-28
1609027200,121.55,139.3,129.56,127.6,1327306.27355629,2020-12-27
1608940800,124.84,135.0,127.8,129.56,1122808.59363966,2020-12-26
1608854400,108.24,128.54,111.17,127.67,1078936.9451263,2020-12-25
1608768000,98.68,112.3,102.46,111.2,800710.15980679,2020-12-24
1608681600,95.28,117.32,114.28,102.35,1187433.79695259,2020-12-23
1608595200,98.31,114.6,104.49,114.31,833259.5140067,2020-12-22
1608508800,100.65,118.87,114.65,104.44,888466.20235959,2020-12-21
1608422400,109.85,123.19,120.04,114.65,911240.9222399,2020-12-20
1608336000,105.5,124.4,109.45,120.02,917654.30896522,2020-12-19
1608249600,99.28,112.92,101.06,109.46,872586.22468513,2020-12-18
1608163200,90.44,110.0,92.94,101.17,1347541.85407388,2020-12-17
1608076800,78.43,93.3,81.4,93.02,783108.77912154,2020-12-16
1607990400,80.38,85.0,82.4,81.4,319582.79295973,2020-12-15
1607904000,79.15,82.99,82.2,82.4,246471.88409561,2020-12-14
1607817600,75.63,84.34,76.67,82.2,307459.52338213,2020-12-13
1607731200,72.02,77.65,72.19,76.7,194168.42666556,2020-12-12
1607644800,69.94,75.09,74.71,72.18,325119.55341277,2020-12-11
1607558400,73.1,77.64,77.42,74.71,146863.798506,2020-12-10
1607472000,72.15,78.24,76.7,77.42,316427.46170733,2020-12-09
1607385600,75.5,84.93,83.44,76.7,304628.63425464,2020-12-08
1607299200,81.75,86.89,83.58,83.41,215837.83740858,2020-12-07
1607212800,80.36,85.26,83.18,83.64,215749.66487477,2020-12-06
1607126400,78.7,84.33,79.54,83.21,247022.99514966,2020-12-05
